arm	evt	row	cid	segid	ke_mcs	amb	tracklen	ke_mcs_range	ke_range_tk	ke_dqdx_tk	sel_len	isfc	stm	tgm	lm	act_sel	cdrop	cmask	nseg14
work-mcp1k-mcs80on	169846	0	6	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	169890	0	21	21002	3999.9990234375	1.0	87.62738800048828	224.21124267578125	225.9	193.5	88.0	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	170792	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	170808	0	14	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	170814	0	18	18012	128.05589294433594	0.39514848589897156	52.87553405761719	149.99627685546875	150.5	136.8	52.9	1	0	0	0	1	0	0	4
work-mcp1k-mcs80on	170880	0	13	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	170924	0	16	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	171358	0	10	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	171600	0	14	14000	889.9121704101562	0.289679616689682	351.988525390625	796.8237915039062	818.3	847.8	355.2	1	0	0	0	1	0	0	24
work-mcp1k-mcs80on	171892	0	58	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	172090	0	10	10002	637.1077880859375	0.009414797648787498	301.44970703125	686.1102905273438	699.5	616.2	303.8	0	0	0	0	1	0	0	20
work-mcp1k-mcs80on	172266	0	16	16007	501.9635009765625	0.7187114953994751	113.7370376586914	279.2702331542969	280.6	252.5	113.7	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	172656	0	10	10003	602.1746215820312	0.11100899428129196	255.48623657226562	585.4197998046875	590.6	571.6	255.8	0	0	0	0	1	2	3	18
work-mcp1k-mcs80on	172788	0	26	26004	254.60023498535156	0.0653277188539505	127.69229125976562	308.72491455078125	326.7	290.7	135.4	0	0	0	0	1	0	0	8
work-mcp1k-mcs80on	172794	0	49	20000	483.8813171386719	2.607514579722192e-05	228.85446166992188	527.0785522460938	533.1	521.9	230.1	1	0	0	0	1	1	1	16
work-mcp1k-mcs80on	172832	0	21	21001	278.8410339355469	0.12402216345071793	125.334716796875	303.73828125	305.9	327.1	125.6	1	0	0	0	1	0	0	9
work-mcp1k-mcs80on	172942	0	4	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	173058	0	14	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	173146	0	15	15001	525.3724365234375	0.6112961769104004	138.1530303955078	330.8509521484375	335.0	308.6	139.3	0	0	0	0	1	0	0	10
work-mcp1k-mcs80on	173234	0	10	10001	515.5535278320312	0.009130747988820076	234.39459228515625	539.2151489257812	545.5	556.6	235.6	1	0	0	0	1	2	3	16
work-mcp1k-mcs80on	173498	0	6	6000	974.8218994140625	0.8152363300323486	169.6393585205078	397.4493103027344	405.7	375.2	172.0	0	0	0	0	1	0	0	11
work-mcp1k-mcs80on	174114	0	17	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	174224	0	20	20017	781.3767700195312	0.6422956585884094	171.71945190429688	401.9150390625	415.9	367.9	176.8	0	0	0	0	1	0	0	11
work-mcp1k-mcs80on	174422	0	18	18000	816.8184204101562	0.85951828956604	134.18292236328125	322.4535827636719	324.2	274.0	134.2	1	0	0	0	1	1	1	9
work-mcp1k-mcs80on	174422	1	8	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	174576	0	5	5001	257.9292907714844	0.48172974586486816	98.56465148925781	247.2753143310547	250.5	236.4	99.6	0	0	0	0	1	0	0	7
work-mcp1k-mcs80on	174752	0	48	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	174928	0	9	9023	288.48785400390625	0.8084947466850281	88.93702697753906	226.9729461669922	229.3	204.7	89.6	0	0	0	0	1	0	0	6
work-mcp1k-mcs80on	175016	0	19	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	175808	0	18	18001	561.328857421875	0.7315416932106018	135.3780059814453	324.9813537597656	327.4	316.4	135.7	0	0	0	0	1	0	0	9
work-mcp1k-mcs80on	175896	0	17	-1	-1.0	-1.0	-1.0	-1.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
work-mcp1k-mcs80on	276836	0	11	11004	605.2384643554688	0.24815243482589722	222.34799194335938	512.8251342773438	516.0	463.5	222.3	1	0	0	0	1	1	2	15
